ranking_date,rank,player,points
20220307,1,106421,8615
20220307,2,104925,8465
20220307,3,100644,7515
20220307,4,104745,6515
20220307,5,126774,6325
20220307,6,126610,4928
20220307,7,126094,4590
20220307,8,134770,3915
20220307,9,200000,3883
20220307,10,206173,3495
20220307,11,128034,3468
20220307,12,111815,3305
20220307,13,133430,3020
20220307,14,106043,2660
20220307,15,105138,2480
20220307,16,105807,2220
20220307,17,124187,2156
20220307,18,105932,2121
20220307,19,207989,2056
20220307,20,126203,2010
20220307,21,132283,1937
20220307,22,106234,1933
20220307,23,104545,1801
20220307,24,105227,1785
20220307,25,106426,1716
20220307,26,111575,1680
20220307,27,103819,1665
20220307,28,104792,1633
20220307,29,105554,1542
20220307,30,126207,1463
20220307,31,200282,1451
20220307,32,144750,1393
20220307,33,122330,1391
20220307,34,105643,1382
20220307,35,105777,1381
20220307,36,104926,1359
20220307,37,105077,1314
20220307,38,200624,1289
20220307,39,126205,1252
20220307,40,105936,1212
20220307,41,125802,1179
20220307,42,200005,1178
20220307,43,202385,1153
20220307,44,105583,1126
20220307,45,200221,1115
20220307,46,105453,1110
20220307,47,122298,1096
20220307,48,105916,1082
20220307,49,124079,1072
20220307,50,106233,1070
20220307,51,136440,1054
20220307,52,111513,1041
20220307,53,105332,1040
20220307,54,134868,1024
20220307,55,106218,1001
20220307,56,207518,1000
20220307,57,126239,986
20220307,58,105526,984
20220307,59,111456,976
20220307,60,202104,965
20220307,61,200175,921
20220307,62,126127,909
20220307,63,105902,906
20220307,64,126952,906
20220307,65,105948,906
20220307,66,105173,904
20220307,67,144684,903
20220307,68,200384,887
20220307,69,104665,885
20220307,70,200325,876
20220307,71,105676,861
20220307,72,202195,852
20220307,73,106148,836
20220307,74,106210,825
20220307,75,111794,823
20220307,76,106214,818
20220307,77,105357,818
20220307,78,111442,800
20220307,79,127157,797
20220307,80,206909,793
20220307,81,104755,782
20220307,82,105487,781
20220307,83,144707,773
20220307,84,105575,771
20220307,85,105311,762
20220307,86,208029,750
20220307,87,105967,741
20220307,88,104918,733
20220307,89,200615,721
20220307,90,104731,719
20220307,91,208103,712
20220307,92,106065,711
20220307,93,106415,705
20220307,94,105376,703
20220307,95,126149,703
20220307,96,126214,691
20220307,97,106423,681
20220307,98,105550,676
20220307,99,144719,675
20220307,100,202103,668
20220307,901,207884,17
20220307,902,127187,17
20220307,903,144652,16
20220307,904,104620,16
20220307,905,209258,16
20220307,906,106420,16
20220307,907,202089,16
20220307,908,105691,16
20220307,909,125842,16
20220307,910,200164,16
20220307,911,129911,16
20220307,912,202279,16
20220307,913,209952,16
20220307,914,106021,16
20220307,915,144909,16
20220307,916,202227,16
20220307,917,208055,16
20220307,918,106397,16
20220307,919,105479,16
20220307,920,106132,16
20220307,921,200442,16
20220307,922,144970,16
20220307,923,126464,16
20220307,924,126591,15
20220307,925,133014,15
20220307,926,105302,15
20220307,927,105626,15
20220307,928,207505,15
20220307,929,209984,15
20220307,930,202146,15
20220307,931,105273,15
20220307,932,106211,15
20220307,933,202299,15
20220307,934,202356,15
20220307,935,208024,15
20220307,936,200006,15
20220307,937,106154,15
20220307,938,200297,15
20220307,939,124013,14
20220307,940,104978,14
20220307,941,206867,14
20220307,942,208386,14
20220307,943,200009,14
20220307,944,105843,14
20220307,945,208411,14
20220307,946,106261,14
20220307,947,104979,14
20220307,948,209203,14
20220307,949,207323,14
20220307,950,144787,14
20220307,951,207844,14
20220307,952,125804,14
20220307,953,209405,14
20220307,954,106280,14
20220307,955,133794,14
20220307,956,207547,14
20220307,957,200132,14
20220307,958,105130,14
20220307,959,200263,14
20220307,960,122294,14
20220307,961,133857,14
20220307,962,202052,14
20220307,963,134405,14
20220307,964,200315,14
20220307,965,210120,13
20220307,966,202105,13
20220307,967,111193,13
20220307,968,106403,13
20220307,969,209874,13
20220307,970,209943,13
20220307,971,208099,13
20220307,972,111809,13
20220307,973,207785,13
20220307,974,122606,13
20220307,975,144919,13
20220307,976,105507,13
20220307,977,106247,13
20220307,978,202125,13
20220307,979,124074,13
20220307,980,200276,13
20220307,981,105478,13
20220307,982,200013,13
20220307,983,210370,12
20220307,984,209113,12
20220307,985,121817,12
20220307,986,105283,12
20220307,987,126715,12
20220307,988,126762,12
20220307,989,207796,12
20220307,989,122393,12
20220307,991,122248,12
20220307,992,200466,12
20220307,993,122554,12
20220307,994,208152,12
20220307,995,207527,12
20220307,996,200036,12
20220307,997,131912,12
20220307,998,206225,12
20220307,999,104901,12
20220307,1000,206750,12
20220307,1001,207657,11
20220307,1002,207220,11
20220307,1003,210048,11
20220307,1004,105349,11
20220307,1005,132482,11
20220307,1006,208843,11
20220307,1007,208304,11
20220307,1008,210098,11
20220307,1009,209910,11
20220307,1010,210042,11
20220307,1011,208467,11
20220307,1012,202324,11
20220307,1013,202169,11
20220307,1014,131910,11
20220307,1015,126272,11
20220307,1016,201945,11
20220307,1017,106321,11
20220307,1018,207327,11
20220307,1019,200541,11
20220307,1020,126530,11
20220307,1020,200594,11
20220307,1022,200383,11
20220307,1023,144744,11
20220307,1024,105682,11
20220307,1025,208069,11
20220307,1026,207391,11
20220307,1027,202366,11
20220307,1028,202079,11
20220307,1029,202148,11
20220307,1030,208168,11
20220307,1031,207815,11
20220307,1032,105545,11
20220307,1033,111801,11
20220307,1034,207419,11
20220307,1035,126450,11
20220307,1036,105598,11
20220307,1037,208334,10
