ranking_date,rank,player,points
20220411,1,104925,8420
20220411,2,106421,8410
20220411,3,100644,7195
20220411,4,104745,7115
20220411,5,126774,5980
20220411,6,126610,4945
20220411,7,134770,4380
20220411,8,126094,4375
20220411,9,200000,3625
20220411,10,111815,3440
20220411,11,207989,3320
20220411,12,206173,3054
20220411,13,126203,2875
20220411,14,128034,2873
20220411,15,133430,2693
20220411,16,106043,2580
20220411,17,124187,2475
20220411,18,105138,2060
20220411,19,105807,2015
20220411,20,105932,1801
20220411,21,104792,1768
20220411,22,105227,1740
20220411,23,104545,1706
20220411,24,111575,1588
20220411,25,200282,1566
20220411,26,132283,1563
20220411,27,105554,1557
20220411,28,126207,1488
20220411,29,105777,1458
20220411,30,106234,1428
20220411,31,106426,1418
20220411,32,104926,1361
20220411,33,126205,1298
20220411,34,105643,1279
20220411,35,202385,1271
20220411,36,122330,1238
20220411,37,105077,1221
20220411,38,200175,1211
20220411,39,105936,1171
20220411,40,144750,1166
20220411,41,122298,1161
20220411,42,200624,1134
20220411,43,103819,1120
20220411,44,125802,1109
20220411,45,124079,1098
20220411,46,200221,1095
20220411,47,105676,1093
20220411,48,200005,1078
20220411,49,105583,1056
20220411,50,144684,1028
20220411,51,106233,1020
20220411,52,202103,1018
20220411,53,111456,985
20220411,54,106218,983
20220411,55,105948,981
20220411,56,105453,975
20220411,57,105916,957
20220411,58,134868,957
20220411,59,126239,948
20220411,60,105526,914
20220411,61,105332,912
20220411,62,111513,911
20220411,63,126127,905
20220411,64,136440,899
20220411,65,200384,897
20220411,66,202104,893
20220411,67,127157,870
20220411,68,105173,869
20220411,69,202195,858
20220411,70,126952,858
20220411,71,105902,856
20220411,72,106214,854
20220411,73,106210,847
20220411,74,105357,828
20220411,75,111794,818
20220411,76,206909,815
20220411,77,106401,808
20220411,78,106148,805
20220411,79,208029,802
20220411,80,104665,797
20220411,81,200325,797
20220411,82,106045,795
20220411,83,207518,791
20220411,84,104755,786
20220411,85,104918,783
20220411,86,111442,782
20220411,87,105311,765
20220411,88,106423,757
20220411,89,106415,756
20220411,90,105575,738
20220411,91,105967,732
20220411,92,106198,723
20220411,93,105487,716
20220411,94,126535,714
20220411,95,144869,714
20220411,96,144707,704
20220411,97,126214,703
20220411,98,200615,691
20220411,99,208103,690
20220411,100,106065,688
20220411,901,121817,15
20220411,902,105585,15
20220411,903,206867,15
20220411,904,202089,15
20220411,905,207505,15
20220411,906,106252,15
20220411,907,110600,15
20220411,908,209984,15
20220411,909,202146,15
20220411,910,202279,15
20220411,911,209997,15
20220411,912,207796,15
20220411,913,200006,15
20220411,914,132017,15
20220411,915,206225,15
20220411,916,202356,15
20220411,917,106360,15
20220411,918,144970,15
20220411,919,124013,14
20220411,920,104978,14
20220411,921,210120,14
20220411,922,104467,14
20220411,923,208386,14
20220411,924,200009,14
20220411,925,105974,14
20220411,926,210098,14
20220411,927,200164,14
20220411,928,208411,14
20220411,929,104979,14
20220411,930,209931,14
20220411,931,208069,14
20220411,932,106260,14
20220411,933,207547,14
20220411,934,144788,14
20220411,935,202079,14
20220411,936,122294,14
20220411,937,106154,14
20220411,938,122321,14
20220411,939,202052,14
20220411,940,200013,14
20220411,941,202105,13
20220411,942,111193,13
20220411,943,105053,13
20220411,944,106403,13
20220411,945,134120,13
20220411,946,122606,13
20220411,947,106390,13
20220411,948,208099,13
20220411,949,105273,13
20220411,950,126762,13
20220411,951,210042,13
20220411,952,207323,13
20220411,953,207844,13
20220411,954,200518,13
20220411,955,104563,13
20220411,956,200036,13
20220411,957,200263,13
20220411,958,133603,13
20220411,959,202147,13
20220411,960,106397,13
20220411,961,133857,13
20220411,962,134405,13
20220411,963,200315,13
20220411,964,206750,13
20220411,965,200297,13
20220411,966,210370,12
20220411,967,209113,12
20220411,968,106420,12
20220411,969,105626,12
20220411,970,111583,12
20220411,971,106120,12
20220411,972,209910,12
20220411,973,208304,12
20220411,974,201987,12
20220411,975,111765,12
20220411,976,106211,12
20220411,977,105507,12
20220411,977,144787,12
20220411,979,105697,12
20220411,980,144909,12
20220411,981,210044,12
20220411,982,202128,12
20220411,983,124074,12
20220411,984,200276,12
20220411,985,144681,12
20220411,986,208265,12
20220411,987,200132,12
20220411,988,200462,12
20220411,989,104901,12
20220411,990,126758,12
20220411,991,105130,12
20220411,992,105478,12
20220411,993,111801,12
20220411,994,126464,12
20220411,995,105349,11
20220411,996,207220,11
20220411,997,207657,11
20220411,998,210048,11
20220411,999,126715,11
20220411,1000,106248,11
20220411,1001,123818,11
20220411,1002,111809,11
20220411,1003,106321,11
20220411,1004,111775,11
20220411,1005,200323,11
20220411,1006,122554,11
20220411,1007,207527,11
20220411,1008,202169,11
20220411,1009,133880,11
20220411,1010,144744,11
20220411,1010,202366,11
20220411,1012,208152,11
20220411,1013,105545,11
20220411,1014,207419,11
20220411,1015,105598,11
20220411,1016,210005,10
20220411,1016,209976,10
20220411,1018,209907,10
20220411,1019,132482,10
20220411,1020,200665,10
20220411,1021,208334,10
20220411,1022,206923,10
20220411,1023,144949,10
20220411,1024,105302,10
20220411,1025,122248,10
20220411,1026,125848,10
20220411,1027,200372,10
20220411,1028,106261,10
20220411,1029,105454,10
