last_name,first_name,tv_name,id,country,gender,seed,seedValue,bio_image,birth_date,birth_place,residence,height,weight,plays,turned_pro,country_long,singles_rank,doubles_rank,career-prize-money,events_entered/0/event_id,events_entered/0/event_name,events_entered/0/seed,maxServe,timeOnCourt,featureImage,events_entered/1/event_id,events_entered/1/event_name,events_entered/1/seed,events_entered/2/event_id,events_entered/2/event_name,events_entered/2/seed
Albot,Radu,R. Albot,atpa829,MDA,M,false,,atpa829.jpg,11 November 1989,"Chisinau, Moldova","Chisinau, Moldova"," 5' 9"" / 1.75 meters",152 lbs. / 68.9 kilos,Right,2008,Moldova,105,166,"4,048,366",MS,Men's Singles,,123 MPH,02:36,https://images.usopen.org/ix-events-usta-players/action/atpa829.jpg,,,,,,
Alcaraz,Carlos,C. Alcaraz,atpa0e2,ESP,M,false,,atpa0e2.jpg,05 May 2003,"El Palmar, Murcia, Spain","El Palmar, Murcia, Spain"," 6' 1"" / 1.85 meters",159 lbs. / 72.1 kilos,Right,2018,Spain,38,0,"1,089,590",MS,Men's Singles,,134 MPH,13:37,,,,,,,
Alcott,Dylan,D. Alcott,itf800257258,AUS,M,false,,itf800257258.jpg,04 December 1990,Melbourne; AUS,Melbourne; AUS, ,,Right,,Australia,1,3,,US,WC Quad Singles,1,85 MPH,05:11,,UD,WC Quad Doubles,1,,,
Anderson,Kevin,K. Anderson,atpa678,RSA,M,false,,atpa678.jpg,18 May 1986,"Johannesburg, South Africa","Gulf Stream, FL, USA"," 6' 8"" / 2.03 meters",208 lbs. / 94.3 kilos,Right,2007,South Africa,68,0,"17,526,008",MS,Men's Singles,,139 MPH,07:33,https://images.usopen.org/ix-events-usta-players/action/atpa678.jpg,,,,,,
Andreozzi,Guido,G. Andreozzi,atpa887,ARG,M,false,,atpa887.jpg,05 August 1991,"Buenos Aires, Argentina","Buenos Aires, Argentina"," 6' 0"" / 1.83 meters",172 lbs. / 78.0 kilos,Right,2010,Argentina,259,266,"1,306,220",MQ,Men's Qual Singles,,-,02:25,,,,,,,
Andujar,Pablo,P. Andujar,atpa596,ESP,M,false,,atpa596.jpg,23 January 1986,"Cuenca, Spain","Valencia, Spain"," 5' 11"" / 1.80 meters",176 lbs. / 79.8 kilos,Right,2003,Spain,94,132,"6,388,568",MS,Men's Singles,,138 MPH,08:14,,,,,,,
Anthrop,Jack,J. Anthrop,itf800567492,USA,M,false,,itf800567492.jpg, 0 ,,, ,,,,United States of America,,,,BS,Junior Boys' Singles,,127 MPH,05:58,,BD,Junior Boys' Doubles,,,,
Arevalo,Marcelo,M. Arevalo,atpa853,ESA,M,false,,atpa853.jpg,17 October 1990,"Sonsonate, El Salvador","Sonsonate, El Salvador"," 6' 4"" / 1.93 meters",190 lbs. / 86.2 kilos,Right,2012,El Salvador,636,37,"932,091",MD,Men's Doubles,,-,08:41,,XD,Mixed Doubles,,,,
Auger-Aliassime,Felix,F. Auger-Aliassime,atpag37,CAN,M,true,12,atpag37.jpg,08 August 2000,"Montreal, Canada","Monte Carlo, Monaco"," 6' 4"" / 1.93 meters",194 lbs. / 88.0 kilos,Right,2017,Canada,11,66,"5,068,274",MS,Men's Singles,12,131 MPH,16:43,https://images.usopen.org/ix-events-usta-players/action/atpag37.jpg,,,,,,
Baez,Sebastian,S. Baez,atpb0bi,ARG,M,false,,atpb0bi.jpg,28 December 2000,Buenos Aires,Buenos Aires," 5' 7"" / 1.70 meters",154 lbs. / 69.9 kilos,Right,2018,Argentina,147,653,"168,654",MQ,Men's Qual Singles,,-,05:56,,,,,,,
